Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Time
79.0,0.38161799075308983,10.963254366895328,0.2703214856550531,10.89593902137096,38.89006201157756,96.73257539488392,39.21568627450978,97.6470588235294,-19.60784313725489,-65.09803921568627,0.015614
80.0,0.34729635533386083,10.969615506024416,0.2703214856550531,10.89593902137096,39.16906220139927,96.67141304027466,39.21568627450978,97.6470588235294,-19.60784313725489,-65.09803921568627,0.015631
81.0,0.31286893008046185,10.975376681190276,0.28022785668196004,11.024675880873218,39.44546217428088,96.61602593082094,40.0,96.0,-20.0,-64.0,14.921889
82.0,0.27834620192013093,10.98053613748314,0.28022785668196004,11.024675880873218,39.71922544523891,96.56642893221984,40.0,96.0,-20.0,-64.0,0.0
83.0,0.24373868681029498,10.985092303282643,0.28022785668196004,11.024675880873218,39.990316395518846,96.5226353750135,40.0,96.0,-20.0,-64.0,0.015639
84.0,0.20905692653530691,10.989043790736547,0.28022785668196004,11.024675880873218,40.258700266379094,96.48465704480884,40.0,96.0,-20.0,-64.0,0.015629
85.0,0.17431148549531628,10.99238939618349,0.28022785668196004,11.024675880873218,40.5243431523814,96.45250417358699,40.0,96.0,-20.0,-64.0,0.0
86.0,0.13951294748825047,10.995128100519649,0.28022785668196004,11.024675880873218,40.78721199417031,96.42618543212394,40.0,96.0,-20.0,-64.0,0.01562
87.0,0.10467191248588793,10.997259069509148,0.28022785668196004,11.024675880873218,41.04727457072476,96.4057079235438,40.0,96.0,-20.0,-64.0,20.875013
88.0,0.06979899340500216,10.998781654038192,-0.10356684073581945,10.911471928134251,41.304499491067375,96.39107717802001,42.0,97.5,-21.0,-65.0,21.031275
89.0,0.0349048128745672,10.999695390312782,8.881784197001252e-16,11.0295672763063,41.55885618541785,96.38229714863989,42.0,96.0,-21.0,-64.0,13.562524
90.0,1.2246467991473532e-16,11.0,8.881784197001252e-16,11.0295672763063,41.81031489577859,96.37937020844282,42.0,96.0,-21.0,-64.0,0.015614
91.0,-0.034904812874566954,10.999695390312782,8.881784197001252e-16,11.0295672763063,42.05884666594225,96.38229714863989,42.0,96.0,-21.0,-64.0,0.015632
92.0,-0.06979899340500191,10.998781654038192,8.881784197001252e-16,11.0295672763063,42.30442333091262,96.39107717802001,42.0,96.0,-21.0,-64.0,0.015628
93.0,-0.10467191248588768,10.997259069509148,8.881784197001252e-16,11.0295672763063,42.54701750573144,96.4057079235438,42.0,96.0,-21.0,-64.0,0.015627
94.0,-0.13951294748825066,10.995128100519649,8.881784197001252e-16,11.0295672763063,42.78660257370574,96.42618543212396,42.0,96.0,-21.0,-64.0,0.0
95.0,-0.17431148549531647,10.99238939618349,-0.28022785668196004,11.02467588087322,43.02315267403163,96.45250417358699,44.0,96.0,-22.0,-64.0,20.843786
96.0,-0.2090569265353071,10.989043790736547,-0.28022785668196004,11.02467588087322,43.256642688812086,96.48465704480884,44.0,96.0,-22.0,-64.0,0.01561
97.0,-0.24373868681029473,10.985092303282645,-0.28022785668196004,11.02467588087322,43.48704822946768,96.52263537501346,44.0,96.0,-22.0,-64.0,0.015602
98.0,-0.2783462019201307,10.98053613748314,-0.28022785668196004,11.02467588087322,43.71434562254126,96.56642893221982,44.0,96.0,-22.0,-64.0,0.015626
99.0,-0.3128689300804616,10.975376681190276,-0.28022785668196004,11.02467588087322,43.938511894898205,96.61602593082094,44.0,96.0,-22.0,-64.0,0.0
100.0,-0.3472963553338606,10.969615506024416,-0.28022785668196004,11.02467588087322,44.159524758326064,96.67141304027466,44.0,96.0,-22.0,-64.0,0.0
101.0,-0.3816179907530896,10.963254366895328,-0.28022785668196004,11.02467588087322,44.37736259353853,96.73257539488391,44.0,96.0,-22.0,-64.0,0.0
102.0,-0.4158233816355187,10.956295201467611,-0.28022785668196004,11.02467588087322,44.592004433590134,96.79949660463969,44.0,96.0,-22.0,-64.0,0.0
103.0,-0.44990210868773006,10.94874012957047,-0.5942615774514266,10.878183795290658,44.80342994670921,96.87215876710019,45.49019607843138,97.6470588235294,-22.74509803921569,-65.09803921568627,21.262327
